"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,11,8,5,1.1,2.39322962408191
-2,0.5,1.5,0,11,8,5,1.2,2.69023982148876
-2,0.5,1.5,0,11,8,5,1.3,3.0262021809767
-2,0.5,1.5,0,11,8,5,1.4,3.37439893121601
-2,0.5,1.5,0,11,8,5,1.5,3.75925974866092
-2,0.5,1.5,0,11,8,5,1.6,4.15865065799967
-2,0.5,1.5,0,11,8,5,1.7,4.57399246117584
-2,0.5,1.5,0,11,8,5,1.8,5.00450956585348
-2,0.5,1.5,0,11,8,5,1.9,5.43827557865289
-2,0.5,1.5,0,11,8,5,2,5.89185479991293
-2,0.5,1.5,0,11,8,5,2.1,6.35048658012429
-2,0.5,1.5,0,11,8,5,2.2,6.81474979292187
-2,0.5,1.5,0,11,8,5,2.3,7.28919183621721
-2,0.5,1.5,0,11,8,5,2.4,7.76680651118468
-2,0.5,1.5,0,11,8,5,2.5,8.25438945165473
-2,0.5,1.5,0,11,8,5,2.6,8.74688117684999
-2,0.5,1.5,0,11,8,5,2.7,9.24933416369944
-2,0.5,1.5,0,11,8,5,2.8,9.76006689344442
-2,0.5,1.5,0,11,8,5,2.9,10.2807820792534
-2,0.5,1.5,0,11,8,5,3,10.8142326809168
-2,0.5,1.5,0,11,8,5,3.1,11.358302142639
-2,0.5,1.5,0,11,8,5,3.2,11.916190049815
-2,0.5,1.5,0,11,8,5,3.3,12.4873162092929
-2,0.5,1.5,0,11,8,5,3.4,13.0705852938845
-2,0.5,1.5,0,11,8,5,3.5,13.6676724714683
-2,0.5,1.5,0,11,8,5,3.6,14.2761122534647
-2,0.5,1.5,0,11,8,5,3.7,14.8969246104561
-2,0.5,1.5,0,11,8,5,3.8,15.5278664956978
-2,0.5,1.5,0,11,8,5,3.9,16.1678105144531
-2,0.5,1.5,0,11,8,5,4,16.8160909119986
-2,0.5,1.5,0,11,8,5,4.1,17.4704181287939
